counts  d_counts        d_time  cpm     uSv/h
0000001162      0000000003         5.001          35.993           0.241
0000001167      0000000005         5.001          59.988           0.402
0000001169      0000000002         5.001          23.995           0.161
0000001178      0000000009         5.001         107.978           0.723
0000001182      0000000004         5.000          48.000           0.322
0000001185      0000000003         5.001          35.993           0.241
0000001190      0000000005         5.001          59.988           0.402
0000001196      0000000006         5.001          71.986           0.482
0000001202      0000000006         5.001          71.986           0.482
0000001207      0000000005         5.000          60.000           0.402
0000001208      0000000001         5.001          11.998           0.080
0000001213      0000000005         5.001          59.988           0.402
0000001218      0000000005         5.001          59.988           0.402
0000001222      0000000004         5.001          47.990           0.322
0000001224      0000000002         5.000          24.000           0.161
0000001226      0000000002         5.001          23.995           0.161
0000001229      0000000003         5.001          35.993           0.241
0000001236      0000000007         5.001          83.983           0.563
0000001242      0000000006         5.002          71.971           0.482
0000001245      0000000003         5.001          35.993           0.241
0000001257      0000000012         5.001         143.971           0.965
0000001265      0000000008         5.001          95.981           0.643
0000001272      0000000007         5.001          83.983           0.563
0000001278      0000000006         5.000          72.000           0.482
0000001282      0000000004         5.001          47.990           0.322
0000001289      0000000007         5.001          83.983           0.563
0000001291      0000000002         5.001          23.995           0.161
0000001297      0000000006         5.001          71.986           0.482
0000001301      0000000004         5.000          48.000           0.322
0000001306      0000000005         5.001          59.988           0.402
0000001311      0000000005         5.001          59.988           0.402
0000001313      0000000002         5.001          23.995           0.161
0000001319      0000000006         5.001          71.986           0.482
0000001323      0000000004         5.000          48.000           0.322
0000001327      0000000004         5.001          47.990           0.322
0000001329      0000000002         5.001          23.995           0.161
0000001331      0000000002         5.001          23.995           0.161
0000001335      0000000004         5.001          47.990           0.322
0000001340      0000000005         5.000          60.000           0.402
0000001347      0000000007         5.001          83.983           0.563
0000001349      0000000002         5.001          23.995           0.161
0000001355      0000000006         5.001          71.986           0.482
0000001361      0000000006         5.002          71.971           0.482
0000001366      0000000005         5.001          59.988           0.402
0000001370      0000000004         5.001          47.990           0.322
0000001372      0000000002         5.001          23.995           0.161
0000001379      0000000007         5.010          83.832           0.562
0000001384      0000000005         5.001          59.988           0.402
0000001385      0000000001         5.001          11.998           0.080
0000001385      0000000000         5.001           0.000           0.000
0000001391      0000000006         5.001          71.986           0.482
0000001396      0000000005         5.000          60.000           0.402
0000001402      0000000006         5.001          71.986           0.482
0000001404      0000000002         5.001          23.995           0.161
